Log file created at: 2023/07/09 18:05:13
Running on machine: Prathyus-Air
Binary: Built with gc go1.20.2 for darwin/arm64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0709 18:05:13.229931   25534 out.go:296] Setting OutFile to fd 1 ...
I0709 18:05:13.230148   25534 out.go:343] TERM=,COLORTERM=, which probably does not support color
I0709 18:05:13.230150   25534 out.go:309] Setting ErrFile to fd 2...
I0709 18:05:13.230152   25534 out.go:343] TERM=,COLORTERM=, which probably does not support color
I0709 18:05:13.230343   25534 root.go:336] Updating PATH: /Users/prathyureddy/.minikube/bin
W0709 18:05:13.230461   25534 root.go:312] Error reading config file at /Users/prathyureddy/.minikube/config/config.json: open /Users/prathyureddy/.minikube/config/config.json: no such file or directory
I0709 18:05:13.232076   25534 out.go:303] Setting JSON to true
I0709 18:05:13.265702   25534 start.go:125] hostinfo: {"hostname":"Prathyus-Air.lan","uptime":672623,"bootTime":1688271290,"procs":319,"os":"darwin","platform":"darwin","platformFamily":"Standalone Workstation","platformVersion":"12.0.1","kernelVersion":"21.1.0","kernelArch":"arm64","virtualizationSystem":"","virtualizationRole":"","hostId":"1e66a1b6-67d0-5054-9f2a-73db8b0b5429"}
W0709 18:05:13.265768   25534 start.go:133] gopshost.Virtualization returned error: not implemented yet
I0709 18:05:13.286363   25534 out.go:97] minikube v1.30.1 on Darwin 12.0.1 (arm64)
W0709 18:05:13.286535   25534 preload.go:295] Failed to list preload files: open /Users/prathyureddy/.minikube/cache/preloaded-tarball: no such file or directory
I0709 18:05:13.286547   25534 notify.go:220] Checking for updates...
I0709 18:05:13.303295   25534 out.go:169] MINIKUBE_WANTUPDATENOTIFICATION=false
I0709 18:05:13.321647   25534 driver.go:375] Setting default libvirt URI to qemu:///system
I0709 18:05:13.321687   25534 global.go:111] Querying for installed drivers using PATH=/Users/prathyureddy/.minikube/bin:/Users/prathyureddy/Library/Application Support/cloud-code/installer/google-cloud-sdk/bin:/Users/prathyureddy/Library/Application Support/cloud-code/installer/google-cloud-sdk/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/prathyureddy/google-cloud-sdk/bin
I0709 18:05:13.321708   25534 global.go:122] ssh default: false priority: 4, state: {Installed:true Healthy:true Running:false NeedsImprovement:false Error:<nil> Reason: Fix: Doc: Version:}
I0709 18:05:13.321841   25534 global.go:122] vmware default: false priority: 5, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "docker-machine-driver-vmware": executable file not found in $PATH Reason: Fix:Install docker-machine-driver-vmware Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/vmware/ Version:}
I0709 18:05:13.321850   25534 global.go:122] vmwarefusion default: false priority: 1, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:the 'vmwarefusion' driver is no longer available Reason: Fix:Switch to the newer 'vmware' driver by using '--driver=vmware'. This may require first deleting your existing cluster Doc:https://minikube.sigs.k8s.io/docs/drivers/vmware/ Version:}
I0709 18:05:13.321938   25534 global.go:122] podman default: true priority: 3, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "podman": executable file not found in $PATH Reason: Fix:Install Podman Doc:https://minikube.sigs.k8s.io/docs/drivers/podman/ Version:}
I0709 18:05:13.322013   25534 global.go:122] qemu2 default: true priority: 7, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "qemu-system-aarch64": executable file not found in $PATH Reason: Fix:Install qemu-system Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/qemu/ Version:}
I0709 18:05:13.322075   25534 global.go:122] virtualbox default: true priority: 6, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:unable to find VBoxManage in $PATH Reason: Fix:Install VirtualBox Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/virtualbox/ Version:}
W0709 18:05:13.555527   25534 docker.go:168] docker version returned error: exit status 1
I0709 18:05:13.555556   25534 global.go:122] docker default: true priority: 9, state: {Installed:true Healthy:false Running:false NeedsImprovement:false Error:"docker version --format {{.Server.Os}}-{{.Server.Version}}:{{.Server.Platform.Name}}" exit status 1: Cannot connect to the Docker daemon at unix:///Users/prathyureddy/.docker/run/docker.sock. Is the docker daemon running? Reason:PROVIDER_DOCKER_NOT_RUNNING Fix:Start the Docker service Doc:https://minikube.sigs.k8s.io/docs/drivers/docker/ Version:}
I0709 18:05:13.555645   25534 global.go:122] hyperkit default: true priority: 8, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "hyperkit": executable file not found in $PATH Reason: Fix:Run 'brew install hyperkit' Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/hyperkit/ Version:}
I0709 18:05:13.555670   25534 global.go:122] parallels default: true priority: 7, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "prlctl": executable file not found in $PATH Reason: Fix:Install Parallels Desktop for Mac Doc:https://minikube.sigs.k8s.io/docs/drivers/parallels/ Version:}
I0709 18:05:13.555692   25534 driver.go:310] not recommending "ssh" due to default: false
I0709 18:05:13.555694   25534 driver.go:305] not recommending "docker" due to health: "docker version --format {{.Server.Os}}-{{.Server.Version}}:{{.Server.Platform.Name}}" exit status 1: Cannot connect to the Docker daemon at unix:///Users/prathyureddy/.docker/run/docker.sock. Is the docker daemon running?
I0709 18:05:13.555707   25534 driver.go:345] Picked: 
I0709 18:05:13.555710   25534 driver.go:346] Alternatives: [ssh]
I0709 18:05:13.555712   25534 driver.go:347] Rejects: [vmware vmwarefusion podman qemu2 virtualbox docker hyperkit parallels]
I0709 18:05:13.575343   25534 out.go:97] Unable to pick a default driver. Here is what was considered, in preference order:
I0709 18:05:13.593317   25534 out.go:169] docker: Not healthy: "docker version --format {{.Server.Os}}-{{.Server.Version}}:{{.Server.Platform.Name}}" exit status 1: Cannot connect to the Docker daemon at unix:///Users/prathyureddy/.docker/run/docker.sock. Is the docker daemon running?
I0709 18:05:13.628304   25534 out.go:169] docker: Suggestion: Start the Docker service <https://minikube.sigs.k8s.io/docs/drivers/docker/>
I0709 18:05:13.665317   25534 out.go:97] Alternatively you could install one of these drivers:
I0709 18:05:13.683246   25534 out.go:169] hyperkit: Not installed: exec: "hyperkit": executable file not found in $PATH
I0709 18:05:13.718336   25534 out.go:169] qemu2: Not installed: exec: "qemu-system-aarch64": executable file not found in $PATH
I0709 18:05:13.754394   25534 out.go:169] parallels: Not installed: exec: "prlctl": executable file not found in $PATH
I0709 18:05:13.788440   25534 out.go:169] virtualbox: Not installed: unable to find VBoxManage in $PATH
I0709 18:05:13.824419   25534 out.go:169] podman: Not installed: exec: "podman": executable file not found in $PATH
I0709 18:05:13.869738   25534 out.go:169] 
W0709 18:05:13.888651   25534 out_reason.go:110] Found docker, but the docker service isn't running. Try restarting the docker service.
I0709 18:05:13.891110   25534 out.go:169] 
